Country Name,Country Code,Group,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Population ages 0-14, female",10540,10667,10748,10759,10699,10608,10535,10477,10436,10405,10283,10116,9919,9729,9575,9395,9296,9252,9201,9113,9116
Aruba,ABW,"Population ages 15-64, female",33625,34552,35457,36259,36889,37176,37225,37105,36935,36797,36938,37176,37464,37726,37914,38075,38125,38098,38046,38000,37863
Aruba,ABW,"Population ages 15-64, male",30772,31396,32021,32602,33069,33262,33317,33289,33229,33188,33360,33580,33828,34066,34248,34429,34523,34559,34582,34616,34545
Aruba,ABW,"Population ages 65 and above, female",4084,4287,4501,4698,4866,5111,5326,5527,5741,5998,6181,6403,6667,6953,7253,7574,7907,8252,8620,9011,9388
Aruba,ABW,"Population ages 65 and above, male",3120,3269,3426,3579,3723,3878,4019,4149,4292,4461,4619,4796,4994,5202,5409,5641,5864,6093,6326,6582,6840
Australia,AUS,"Population ages 0-14, male",2076261,2078937,2081768,2083013,2089032,2094326,2085263,2109908,2138775,2156909,2186553,2217950,2247732,2276877,2311139,2353914,2407153,2460104,2508785,2543515,2551871
Australia,AUS,"Population ages 0-14, female",1933858,1937025,1941035,1944244,1952145,1960459,1955442,1982209,2013675,2036247,2066091,2098215,2128237,2156081,2187070,2230783,2283149,2334187,2380552,2413342,2422172
Australia,AUS,"Population ages 15-64, female",6452508,6546361,6640925,6728928,6824299,6940314,6993095,7136720,7280709,7385446,7469448,7584244,7698697,7793452,7880342,7965067,8055501,8132842,8212123,8276794,8249369
Australia,AUS,"Population ages 15-64, male",6540220,6629516,6719456,6805811,6904284,7027265,7090020,7245568,7398431,7506055,7572959,7666241,7757084,7829949,7899670,7978294,8066288,8144071,8225720,8293954,8268588
Australia,AUS,"Population ages 65 and above, female",1340676,1362927,1387214,1411953,1440365,1463009,1473615,1507646,1549425,1592165,1637216,1695712,1759436,1820986,1881281,1945439,2010982,2074185,2140811,2208202,2250893
Australia,AUS,"Population ages 65 and above, male",1069478,1096634,1125002,1153453,1184676,1212527,1230165,1267150,1310686,1354927,1407757,1471103,1536942,1598341,1656493,1717410,1778788,1837298,1897754,1957459,1996364
